date,retail_and_recreation_percent_change_from_baseline,ndti_change_from_baseline,ndvi_change_from_baseline,tmmx_change_from_baseline,Precipitation (mm/day)_change_from_baseline,aod_change_from_baseline,NO2_column_number_density_change_from_baseline,avg_rad_change_from_baseline
2019-04-18,,,,,-100.00000000000001,2.4085645482541844,6.270516010067593,
2019-04-19,,,,,-100.00000000000001,-16.479595873661,-28.339040499066567,
2019-04-20,,-8.643391484036307,-27.95480103594411,,-100.00000000000001,-36.221875192256626,-17.86376797814952,
2019-04-21,,,,,-100.00000000000001,-44.53249333802174,-28.13091007309126,
2019-04-22,,,,,-100.00000000000001,-52.09897125298411,-0.5110151344606461,
2019-04-23,,,,,-100.00000000000001,-13.350109597763552,3.1950042853545932,
2019-04-24,,,,,-100.00000000000001,-16.197965991838952,-14.42584304320962,
2019-04-25,,-39.84242253569936,-42.74403573763669,,-99.96935684288572,26.935633567091994,-12.527370181471284,
2019-04-26,,,,,-100.00000000000001,-24.843759400345036,-27.76702173849127,
2019-04-27,,,,,-100.00000000000001,-61.51605180446423,-26.328328056979483,
2019-04-28,,,,,-100.00000000000001,-43.52719889774077,-32.009520331776095,
2019-04-29,,,,,-100.00000000000001,-49.15693475682197,-22.123377140495496,
2019-04-30,,-58.918775008299384,-37.32842777067403,,-100.00000000000001,-17.177711607444653,-10.097249924955753,
2019-05-01,,,,67.79262251705899,-100.00000000000001,-31.181251306879766,7.612327020820207,-16.873131779940554
2019-05-02,,,,,28.955041128068263,15.308977354410894,-4.343319021003741,
2019-05-03,,,,,-71.72156022202594,-44.5578682230251,29.040265004346562,
2019-05-04,,,,,-100.00000000000001,-39.548854792572136,-12.52605698757758,
2019-05-05,,-16.079677330319253,-24.312725500235658,,-100.00000000000001,-50.18856309644539,-23.605842940874012,
2019-05-06,,,,,-100.00000000000001,-48.488399995861506,-23.217169180499287,
2019-05-07,,,,,-100.00000000000001,-8.778912274062986,-31.9193992259486,
2019-05-08,,,,,-100.00000000000001,-17.4841142538762,-20.97087211255361,
2019-05-09,,,,,-100.00000000000001,1.703121038475114,-16.733203363897534,
2019-05-10,,-57.20257172706946,-43.68637088371585,,-34.552437439786154,-3.03817962119992,-24.675604311212773,
2019-05-11,,,,,-99.39852803216154,34.864477199490075,-24.791661263632587,
2019-05-12,,,,,-98.4263764484824,32.654596610293716,-22.456565688939968,
2019-05-13,,,,,168.57082132612825,32.52118876428263,7.991212351739253,
2019-05-14,,,,,-99.93451447164787,-30.402894278483178,3.780430759993393,
2019-05-15,,,,,51.4796255832485,2.727420884732061,-33.32456412191184,
2019-05-16,,,,,5.154783281652023,,-11.854231241489051,
2019-05-17,,,,,1908.140443701768,0.6828745430452915,-26.716331813924548,
2019-05-18,,,,,-99.83988255733404,18.564374191010273,-19.87266118234377,
