date,ndti,ndvi,tmmx,Precipitation (mm/day),aod,NO2_column_number_density,avg_rad,retail_and_recreation_percent_change_from_baseline
2017-03-18,,,,0.1727107912302017,455.8391462351136,,,
2017-03-19,,,,0.0284724980592727,1086.851968552629,,,
2017-03-20,,,,0.0061403205618262,591.8669058761357,,,
2017-03-21,-0.09235227160182935,0.27309254765243585,,0.0031172037124633,457.3832640965097,,,
2017-03-22,,,,0.0183047577738761,367.7234376914147,,,
2017-03-23,,,,0.0041924202814698,644.8121709253098,,,
2017-03-24,,,,0.0467142537236213,735.668218499742,,,
2017-03-25,,,,0.0177186038345098,339.95964167246336,,,
2017-03-26,,,,0.0,178.3130576883578,,,
2017-03-27,,,,0.0,464.49209334253374,,,
2017-03-28,,,,0.0,544.9120888412747,,,
2017-03-29,,,,0.0,469.18665542707237,,,
2017-03-30,,,,0.0,343.0478856877437,,,
2017-03-31,,,,0.0,,,,
2017-04-01,,,381.2510972950056,0.0171810071915388,370.070981031854,,27.236079431433875,
2017-04-02,,,,0.0,183.33233578684937,,,
2017-04-03,,,,0.010697990655899,438.44569832738676,,,
2017-04-04,,,,7.898324489593506,,,,
2017-04-05,,,,0.1472957730293274,652.7263894570162,,,
2017-04-06,,,,0.0,429.0479870839754,,,
