date,Precipitation (mm/day)
2019-02-14,8.117903709411621
2019-02-15,0.0
2019-02-16,0.0
2019-02-17,0.0029540308751165867
2019-02-18,0.5602822303771973
2019-02-19,0.5539547204971313
2019-02-20,5.035175323486328
2019-02-21,0.08684404194355011
2019-02-22,0.0
2019-02-23,0.08351915329694748
2019-02-24,0.0
2019-02-25,0.6858144998550415
2019-02-26,0.3759247064590454
2019-02-27,0.012384362518787384
2019-02-28,0.0
2019-03-01,0.7368547320365906
2019-03-02,7.213368892669678
2019-03-03,0.24011698365211487
2019-03-04,0.0
2019-03-05,0.0
2019-03-06,0.0
2019-03-07,0.08208586275577545
2019-03-08,0.2060830295085907
2019-03-09,0.0
2019-03-10,0.0
2019-03-11,0.10711205005645752
2019-03-12,0.1381743848323822
2019-03-13,1.3357064723968506
2019-03-14,1.0338515043258667
2019-03-15,0.0
2019-03-16,0.080760657787323
2019-03-17,0.0
2019-03-18,0.0
2019-03-19,0.0
2019-03-20,0.0
2019-03-21,0.0
2019-03-22,0.0
2019-03-23,0.0
2019-03-24,0.002943058032542467
2019-03-25,0.03684644773602486
2019-03-26,0.0
2019-03-27,0.019331395626068115
2019-03-28,0.0
2019-03-29,0.03512227162718773
2019-03-30,2.5533885955810547
2019-03-31,0.0
2019-04-01,0.0
2019-04-02,0.0
2019-04-03,0.006266790442168713
2019-04-04,0.0
2019-04-05,0.29142531752586365
2019-04-06,0.0
2019-04-07,7.551155090332031
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,0.0
2019-04-12,0.2515943646430969
2019-04-13,0.0
2019-04-14,0.0
2019-04-15,0.38916584849357605
2019-04-16,2.9287469387054443
2019-04-17,7.8358988761901855
2019-04-18,0.0
2019-04-19,0.0
2019-04-20,0.0
2019-04-21,0.0
2019-04-22,0.0
2019-04-23,0.0
2019-04-24,0.0
2019-04-25,0.00027558047440834343
2019-04-26,0.0
2019-04-27,0.0
2019-04-28,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,0.0
2019-05-02,1.1597203016281128
2019-05-03,0.2543140649795532
2019-05-04,0.0
2019-05-05,0.0
2019-05-06,0.0
2019-05-07,0.0
2019-05-08,0.0
2019-05-09,0.0
2019-05-10,0.5885839462280273
2019-05-11,0.005409166216850281
2019-05-12,0.01415193360298872
2019-05-13,2.4153149127960205
2019-05-14,0.0005889253807254136
2019-05-15,1.3622887134552002
2019-05-16,0.9456794857978821
2019-05-17,18.05963706970215
2019-05-18,0.001439970452338457
2019-05-19,0.0
2019-05-20,0.00032144636497832835
2019-05-21,0.0045976219698786736
2019-05-22,0.09862671792507172
2019-05-23,1.8036582469940186
2019-05-24,0.059895023703575134
2019-05-25,0.0
2019-05-26,0.0
2019-05-27,0.0
2019-05-28,0.0
2019-05-29,0.0
2019-05-30,0.0
2019-05-31,0.0
2019-06-01,0.0
2019-06-02,0.0
2019-06-03,0.0
2019-06-04,0.006241088267415762
2019-06-05,0.1405925154685974
2019-06-06,0.002062177984043956
2019-06-07,0.0
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,0.01738089881837368
2019-06-11,0.3280045688152313
2019-06-12,0.5560970306396484
2019-06-13,8.682942279847339e-06
2019-06-14,0.0
2019-06-15,2.9078493118286133
2019-06-16,2.9539530277252197
2019-06-17,4.381938457489014
2019-06-18,0.8216117024421692
2019-06-19,0.006070762872695923
2019-06-20,0.0
2019-06-21,0.043753672391176224
